priority,cluster,query,shows_90d,clicks_90d,ctr_percent,avg_position,actual_url_30d,target_url,routing_status,recommended_action
P1,VIP и эксклюзивные подарки,брендированные подарки ручной работы партнерам westcoastwood ru,2,0,0.0,8.5,,/vip-podarki/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,Подарки и изделия из Златоуста,поделки златоуст,2,0,0.0,8.5,/categories/,/categories/,correct,Улучшить сниппет и соответствие интенту
P1,Подарки и изделия из Златоуста,омега златоуст,2,0,0.0,8.5,,/categories/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,Декор и предметы для кабинета,тигр как часы,2,0,0.0,8.5,,/categories/eksklyuzivnyj-dekor-dlya-doma/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,Декор и предметы для кабинета,ваза золотые мечты,2,0,0.0,9.0,,/categories/eksklyuzivnyj-dekor-dlya-doma/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,Сувенирное оружие,снежный нож классический в мм,2,0,0.0,9.0,,/categories/suvenirnoe-oruzhie/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,Икорницы и чайно-кофейные наборы,almazfond.ru хрустального золотистые икорницы,2,2,100.0,9.0,/product-category/01-%D0%BD%D0%B0%D0%B1%D0%BE%D1%80%D1%8B-%D0%BF%D0%BE%D0%B4%D0%B0%D1%80%D0%BE%D1%87%D0%BD%D1%8B%D0%B5/01-01-%D0%B8%D0%BA%D0%BE%D1%80%D0%BD%D0%B8%D1%86%D1%8B/page/2/?orderby=date,/categories/ikorniczy-chajno-kofejnye-nabory/,review,"Проверить, является ли запрос товарным или категорийным"
P1,Корпоративные подарки,деловой подарок руководителю art-grani.ru,2,0,0.0,9.0,,/korporativnye-podarki/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,Сувенирное оружие,арабская сабля полумесяц,2,0,0.0,9.5,,/categories/suvenirnoe-oruzhie/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,Сувенирное оружие,рубиновый кинжал,2,0,0.0,9.5,,/categories/suvenirnoe-oruzhie/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,VIP и эксклюзивные подарки,подарок под заказ ручной работы,2,0,0.0,10.0,/,/vip-podarki/,mismatch,Усилить внутреннюю ссылку на целевую страницу
P1,Декор и предметы для кабинета,часы замка хогвартс,2,0,0.0,10.0,,/categories/eksklyuzivnyj-dekor-dlya-doma/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,VIP и эксклюзивные подарки,вип книги подарки из златоуста мосподарок,2,0,0.0,10.0,/,/vip-podarki/,mismatch,Усилить внутреннюю ссылку на целевую страницу
P1,Подарки и изделия из Златоуста,продать изделия златоуста,2,0,0.0,10.0,,/categories/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,VIP и эксклюзивные подарки,сайты и блоги сувениров ручной работы,2,0,0.0,10.5,,/vip-podarki/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,Сувенирное оружие,утопающий нож,2,0,0.0,11.0,/categories/suvenirnoe-oruzhie/kompoziczii-s-nozhami/kompozicziya-s-nozhom-sapfirovyj-strazh-p/,/categories/suvenirnoe-oruzhie/,correct,Улучшить сниппет и соответствие интенту
P1,Подарки и изделия из Златоуста,златоуст украшения,2,0,0.0,11.0,,/categories/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,Сувенирное оружие,зульфакар сабля,2,0,0.0,11.5,/categories/suvenirnoe-oruzhie/sabli-shashki/eksklyuzivnaya-sablya-zulfikar-art-817/,/categories/suvenirnoe-oruzhie/,correct,Улучшить сниппет и соответствие интенту
P1,Икорницы и чайно-кофейные наборы,кофейные набор с султан иком,2,0,0.0,12.0,,/categories/ikorniczy-chajno-kofejnye-nabory/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,Икорницы и чайно-кофейные наборы,икорницы белуга,2,0,0.0,12.5,,/categories/ikorniczy-chajno-kofejnye-nabory/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,Декор и предметы для кабинета,"ваза из кобальтового стекла, дороже хрустальной",2,0,0.0,12.5,,/categories/eksklyuzivnyj-dekor-dlya-doma/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,Подарки и изделия из Златоуста,меч победы златоуст,2,0,0.0,13.0,,/categories/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,Подарки и изделия из Златоуста,златоуст ювелирные изделия,2,0,0.0,13.0,,/categories/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,Подарки и изделия из Златоуста,помазан златоуст,2,0,0.0,14.5,,/categories/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,Сувенирное оружие,ножи собаки,2,0,0.0,18.0,,/categories/suvenirnoe-oruzhie/,no_30d_data,Улучшить сниппет и соответствие интенту
P2,Подарки и изделия из Златоуста,златоуст сувениры,5,0,0.0,34.6,/,/categories/,mismatch,Усилить внутреннюю ссылку на целевую страницу
P2,Подарки и изделия из Златоуста,подарки златоуст,4,0,0.0,24.75,/,/categories/,mismatch,Усилить внутреннюю ссылку на целевую страницу
P2,Подарки и изделия из Златоуста,златоуст подарки для мужчин,4,0,0.0,33.0,/podarki-muzhchine/,/categories/,review,"Проверить, является ли запрос товарным или категорийным"
P2,Подарки и изделия из Златоуста,златоуст подарки,3,0,0.0,25.33,,/categories/,no_30d_data,Улучшить сниппет и соответствие интенту
P2,Декор и предметы для кабинета,часы ручка,2,0,0.0,21.0,,/categories/eksklyuzivnyj-dekor-dlya-doma/,no_30d_data,Улучшить сниппет и соответствие интенту
P2,Подарки и изделия из Златоуста,златоуст подарки официальный сайт,2,0,0.0,21.5,,/categories/,no_30d_data,Улучшить сниппет и соответствие интенту
P2,Подарки и изделия из Златоуста,златоуст сувениры магазин,2,0,0.0,25.5,,/categories/,no_30d_data,Улучшить сниппет и соответствие интенту
P2,Подарки и изделия из Златоуста,изделия златоуста официальный сайт,2,0,0.0,29.0,,/categories/,no_30d_data,Улучшить сниппет и соответствие интенту
P2,Подарки и изделия из Златоуста,сувениры из златоуста,2,0,0.0,30.0,,/categories/,no_30d_data,Улучшить сниппет и соответствие интенту
P2,Сувенирное оружие,топор пожарного подарочный,2,0,0.0,30.5,,/categories/suvenirnoe-oruzhie/,no_30d_data,Улучшить сниппет и соответствие интенту
P2,Подарки и изделия из Златоуста,златоуст заказать,2,0,0.0,30.5,,/categories/,no_30d_data,Улучшить сниппет и соответствие интенту
P2,Сувенирное оружие,настольные композиции ножей из кости,2,0,0.0,31.0,,/categories/suvenirnoe-oruzhie/,no_30d_data,Улучшить сниппет и соответствие интенту
P2,Сувенирное оружие,сапфировый нож,2,0,0.0,32.5,/categories/suvenirnoe-oruzhie/kompoziczii-s-nozhami/kompozicziya-s-nozhom-sapfirovyj-strazh-p/,/categories/suvenirnoe-oruzhie/,correct,Улучшить сниппет и соответствие интенту
P2,Декор и предметы для кабинета,часы с волком,2,0,0.0,32.5,,/categories/eksklyuzivnyj-dekor-dlya-doma/,no_30d_data,Улучшить сниппет и соответствие интенту
P2,Восточная коллекция,коран аш,2,0,0.0,33.0,,/categories/vostochnye-podarki/vostochnaya-kollekcziya/,no_30d_data,Улучшить сниппет и соответствие интенту
P2,Сувенирное оружие,сабля зульфикар,2,0,0.0,35.0,/categories/suvenirnoe-oruzhie/sabli-shashki/eksklyuzivnaya-sablya-zulfikar-art-817/,/categories/suvenirnoe-oruzhie/,correct,Улучшить сниппет и соответствие интенту
